Date,Long Iram,Barong Tongkok,Kembang Janggut,Karang Tunggal,Damai,Muara Ancalong,Muara Kaman,Panyinggahan,Sumber Sari,Tj. Issuy,Tenggarong,Muara Wahau
12-Jun-08,-,0,2.1,0,0,0,0,0,0,0,0,0
13-Jun-08,-,1,2.4,0,0,30,0,0,0,0,0,26.5
14-Jun-08,-,0,3.2,0,4.5,0,37.5,42,0,2.4,0,0
15-Jun-08,-,0,1.7,0.7,0,0,0,0,0.5,8.7,25.6,0
16-Jun-08,-,0,0,20,0,23.1,0,20.6,2.5,3.9,89.9,32.6
17-Jun-08,-,10,0,0,12.5,0,0,0,0,15.8,45.2,0
18-Jun-08,-,0,0,0,0,0,0,0,0,0,67.4,0
19-Jun-08,-,1,2.5,31.5,0,81.5,46.4,0,30.2,20.6,18.4,28.5
20-Jun-08,-,13,4.3,0,0,0,0,61.4,25.2,11.5,0,20.5
21-Jun-08,-,0,0,0,0,0,0,0,1.5,0,0,0
22-Jun-08,-,17,0,0,31.5,0,57.6,0,0,0,97.6,0
23-Jun-08,-,0,0,0,0,0,34.7,0,0,12.5,0,0
24-Jun-08,-,0,0,0,0,0,0,0,0,0,0,0
25-Jun-08,-,0,0,0.4,0,0,0,0,2.6,0.6,0,0
26-Jun-08,-,0,0,0.2,4.5,0,0,0,12.5,0,116.5,0
27-Jun-08,-,5,0,0,0,0,0,0,0,0,0,18.5
28-Jun-08,-,0,5.8,0,0,0,28.5,0,0,12.4,0,0
29-Jun-08,-,0,0,0.7,0,0,0,0,0.6,20.8,0,0
30-Jun-08,-,10,0,0,2.5,30.2,0,0,0,0,0,26.3
01-Jul-08,-,0,0,0,0,30.3,0,0,0,0,0,10.2
02-Jul-08,-,10.5,2.7,0.6,0,0,36.5,0,0.5,0,0,0
03-Jul-08,-,0,1.2,0.1,0,0,0,0,0.6,0,55.6,0
04-Jul-08,-,0,4.5,0.6,0,0,0,3.5,0.6,0,12.7,0
05-Jul-08,-,0,2.8,0.7,0,0,52.4,0,0.8,0,0,0
06-Jul-08,-,3.6,0,0,0,54.2,47.6,0,23.5,0,0,15.2
07-Jul-08,-,0,0,0,0,0,0,0,0,0,0,24.9
08-Jul-08,-,0,0,24,2.5,0,0,0,20.5,0,0,0
09-Jul-08,-,0,0,0,0,0,0,0,0,10,0,0
10-Jul-08,-,0,1.6,0.8,1.5,0,38.7,20,0.8,0,0,0
11-Jul-08,-,2.6,0,0,2.5,0,0,0,1,0,0,26.3
12-Jul-08,-,0,2.4,0.6,0,0,0,10,0.6,0,0,29.1
13-Jul-08,-,0,0,0,2.4,0,0,0,0,0,38.1,0
14-Jul-08,-,0,2.7,0,0,0,62.4,39,0,0,0,0
15-Jul-08,-,12.5,0,0.6,30.5,0,0,10.1,0,0,0,0
16-Jul-08,-,0,3.4,0,10.2,0,54.5,0,0,3,7.5,0
17-Jul-08,-,0,0,0,0.6,0,47.3,0,0,0,0,0
18-Jul-08,-,0,3.6,17,0,0,0,0,17,0,0,15.2
19-Jul-08,-,0,1.8,26,2.1,0,0,0,0,10.6,0,0
20-Jul-08,-,0,0,10,15.4,0,65.6,20,15.2,1.8,0,0
21-Jul-08,-,0,0,13,30.6,0,0,0,24.2,0,0,0
22-Jul-08,-,0,0,14,0,0,0,10.1,10.5,0,0,0
23-Jul-08,-,0,0,0,7.2,0,0,0,3.2,1.1,42.4,0
24-Jul-08,-,0,0,0,0,0,0,0,0,0,0,0
25-Jul-08,-,5,0,0.6,0,0,48.5,0,0.6,0,0,0
26-Jul-08,-,0,0,63,0,0,0,0,62.1,0.5,60.9,0
27-Jul-08,-,0,0,0,0,0,0,0,0,11,112.3,0
28-Jul-08,-,21,0,53,11.2,0,0,0,50.2,0,0,0
29-Jul-08,-,0,0,0,0,0,0,20.2,0,0,31.7,20.5
30-Jul-08,-,1.5,0,0,0,22,0,0,0,14.5,106.4,2.6
31-Jul-08,-,3.6,0,0,0,0,0,0,0,5.6,0,0
01-Aug-08,-,12.5,0,0,0,0,46.3,0,0,0,0,0
02-Aug-08,-,0,0,0,2.5,0,0,0,0,1,0,0
03-Aug-08,-,0,0,58,0,0,0,0,50.8,0,0,0
04-Aug-08,-,0,0,0.25,0,0,52.5,0,0.6,26.5,0,0
05-Aug-08,-,0,0,0,9.4,0,47.4,0,0,0,40.5,0
06-Aug-08,-,0,2.7,0,1.5,0,0,0,0,0,0,0
07-Aug-08,-,0,1.3,0.2,0,0,39.7,0,0.6,0,0,0
